date,water_level,tempreature,humidity,N,P,K,Drainage_Class,Predicted_Drainage
2024-02-08 06:10:00,100,41,63,255,255,255,1,1
2024-02-08 06:15:00,100,41,59,255,255,255,1,1
2024-02-08 06:20:00,100,41,62,255,255,255,1,1
2024-02-08 06:05:00,100,40,60,255,255,255,1,1
2024-02-08 06:00:00,100,39,61,255,255,255,1,1
2024-01-18 06:02:00,100,38,64,255,255,255,1,1
2024-01-18 06:07:00,100,38,65,255,255,255,1,1
2024-01-18 06:12:00,100,38,64,255,255,255,1,1
2024-01-18 05:02:00,100,37,62,255,255,255,1,1
2024-01-18 05:07:00,100,37,63,255,255,255,1,1
2024-01-18 05:12:00,100,37,61,255,255,255,1,1
2024-01-18 05:17:00,100,37,64,255,255,255,1,1
2024-01-18 05:22:00,100,37,61,255,255,255,1,1
2024-01-18 05:37:00,100,37,63,255,255,255,1,1
2024-01-18 05:42:00,100,37,66,255,255,255,1,1
2024-01-18 05:47:00,100,37,62,255,255,255,1,1
2024-01-18 05:52:00,100,37,64,255,255,255,1,1
2024-01-18 05:57:00,100,37,63,255,255,255,1,1
2024-01-18 06:17:00,100,37,64,255,255,255,1,1
2024-01-25 03:46:00,100,37,71,255,255,255,1,1
2024-02-08 05:20:00,100,37,61,255,255,255,1,1
2024-02-08 05:25:00,100,37,61,255,255,255,1,1
2024-02-08 05:35:00,100,37,61,255,255,255,1,1
2024-02-08 05:55:00,100,37,59,255,255,255,1,1
2024-01-14 05:50:00,0,36,49,255,255,255,0,0
2024-01-14 05:51:00,0,36,51,255,255,255,0,0
2024-01-14 05:52:00,0,36,48,255,255,255,0,0
2024-01-14 05:52:00,66,36,48,255,255,255,0,0
2024-01-14 05:52:00,0,36,47,255,255,255,0,0
2024-01-14 05:52:00,0,36,51,255,255,255,0,0
2024-01-14 05:53:00,0,36,47,255,255,255,0,0
2024-01-14 05:53:00,0,36,51,255,255,255,0,0
2024-01-14 05:53:00,0,36,48,255,255,255,0,0
2024-01-14 05:54:00,0,36,50,255,255,255,0,0
2024-01-14 05:54:00,0,36,48,255,255,255,0,0
2024-01-14 05:54:00,0,36,49,255,255,255,0,0
2024-01-14 05:54:00,0,36,51,255,255,255,0,0
2024-01-14 05:55:00,0,36,48,255,255,255,0,0
2024-01-14 05:55:00,0,36,50,255,255,255,0,0
2024-01-14 05:55:00,3,36,48,255,255,255,0,0
2024-01-14 05:55:00,2,36,51,255,255,255,0,0
2024-01-14 05:56:00,0,36,48,255,255,255,0,0
2024-01-14 05:56:00,0,36,51,255,255,255,0,0
2024-01-14 05:56:00,0,36,47,255,255,255,0,0
